id,language,variant,domain,subdomain,task_type,customer_intent,customer_tone,agent_tone,channel,difficulty,instruction,input,output,meta_requires_escalation,meta_contains_pii,meta_synthetic,meta_source_type,intent_classification
lusosupport_pt_000049,pt,pt-PT,subscriptions,placeholder,urgency_classification,account_access,confused,concise,web_form,medium,Classifica a urgência do pedido.,Mensagem do cliente: Não consigo iniciar sessão na minha conta.,"{""urgency"": ""high"", ""reason"": ""O acesso bloqueado afecta directamente a utilização do serviço."", ""escalate"": true}",False,False,True,template_generated,
lusosupport_pt_000050,pt,pt-PT,travel,placeholder,next_action_suggestion,duplicate_charge,formal,concise,chat,easy,Indica os próximos passos.,Mensagem do cliente: Apareceram dois débitos iguais no meu extracto bancário.,"1. Aceder ao histórico de transacções do cliente.
2. Confirmar as duas cobranças pelo mesmo valor/referência.
3. Cancelar ou estornar a transacção duplicada.
4. Enviar comprovativo de reembolso ao cliente.",False,False,True,template_generated,
lusosupport_pt_000051,pt,pt-PT,subscriptions,placeholder,summarization,change_plan,formal,professional,web_form,medium,Resume o problema do cliente de forma concisa.,Mensagem do cliente: Podem explicar-me as diferenças entre os planos disponíveis?,"O cliente solicita a mudança para um plano superior ou inferior, conforme as suas necessidades.",False,False,True,template_generated,
lusosupport_pt_000052,pt,pt-PT,marketplace,placeholder,response_generation,payment_failure,confused,empathetic,chat,medium,"Responde ao cliente em português de Portugal, com tom empathetic.",Mensagem do cliente: O meu pagamento foi recusado mas não percebo porquê.,"Pedimos desculpa pelo problema no pagamento. Isto pode ocorrer por diversos motivos, como dados incorrectos ou limite do cartão atingido. Pode tentar novamente com os dados do cartão actualizados ou utilizar outro método de pagamento?",False,False,True,template_generated,
lusosupport_pt_000053,pt,pt-PT,utilities,placeholder,email_reply,duplicate_charge,urgent,formal,phone_transcript,easy,Escreve uma resposta por e-mail em português de Portugal.,Mensagem do cliente: Verifiquei que fui debitado em duplicado e quero que o valor seja devolvido.,"Exmo(a). Sr(a).,

Agradecemos o alerta relativamente à cobrança duplicada.

Verificámos os registos e confirmamos que efectivamente foi cobrado o valor em duplicado. O montante de [€X] será reembolsado para o cartão original no prazo de 5 a 10 dias úteis.

Pedimos desculpa pelo erro.

Com os melhores cumprimentos,
[Nome da Empresa]",False,False,True,template_generated,
lusosupport_pt_000054,pt,pt-PT,telecom,placeholder,summarization,account_access,confused,concise,phone_transcript,hard,Resume o problema do cliente de forma concisa.,Mensagem do cliente: A minha conta foi bloqueada e não sei porquê.,O cliente não consegue aceder à sua conta e reporta problemas de autenticação.,False,False,True,template_generated,
lusosupport_pt_000055,pt,pt-PT,utilities,placeholder,email_reply,invoice_request,formal,concise,email,easy,Escreve uma resposta por e-mail em português de Portugal.,Mensagem do cliente: Preciso de uma fatura com os dados da minha empresa.,"Caro/a cliente,

Segue em anexo a fatura solicitada, referente ao período [período].

Caso necessitem de alguma rectificação ou emissão de nota de crédito, ficamos ao dispor.

Atenciosamente,
[Nome da Empresa]",False,False,True,template_generated,
lusosupport_pt_000056,pt,pt-PT,billing_accounts,placeholder,intent_classification,duplicate_charge,calm,concise,email,easy,Classifica a intenção do cliente.,Mensagem do cliente: Verifiquei que fui debitado em duplicado e quero que o valor seja devolvido.,"{""intent"": ""duplicate_charge"", ""urgency"": ""high"", ""domain"": ""billing_accounts"", ""confidence"": 0.97}",False,False,True,template_generated,
lusosupport_pt_000057,pt,pt-PT,travel,placeholder,rewrite_professional,payment_failure,informal,professional,email,hard,Reescreve a mensagem de forma profissional.,Mensagem do cliente: Tentei efectuar o pagamento várias vezes e continua a falhar.,Solicito ajuda na resolução de um problema no processamento do pagamento. A transacção foi recusada sem que tenha sido apresentado o motivo.,False,False,True,template_generated,
lusosupport_pt_000058,pt,pt-PT,billing_accounts,placeholder,email_reply,password_reset,urgent,concise,email,hard,Escreve uma resposta por e-mail em português de Portugal.,Mensagem do cliente: Não consigo repor a palavra-passe.,"Exmo(a). Sr(a).,

Segue em anexo o link para redefinição da palavra-passe.

O link é válido por 24 horas. Caso expire, pode solicitar um novo através da página de início de sessão.

Com os melhores cumprimentos,
[Nome da Empresa]",False,False,True,template_generated,
lusosupport_pt_000059,pt,pt-PT,ecommerce,placeholder,rewrite_professional,return_request,formal,concise,phone_transcript,medium,Reescreve a mensagem de forma profissional.,Mensagem do cliente: Gostaria de devolver o artigo que encomendei.,"Venho por este meio solicitar a devolução do artigo adquirido, o qual não corresponde às minhas expectativas. Agradeço que me indiquem o procedimento a seguir.",False,False,True,template_generated,
lusosupport_pt_000060,pt,pt-PT,utilities,placeholder,response_generation,invoice_request,informal,empathetic,web_form,hard,"Responde ao cliente em português de Portugal, com tom empathetic.","Mensagem do cliente: Podem enviar-me a fatura para o meu e-mail, por favor?","Agradecemos o pedido de fatura. Para proceder à emissão, necessitamos do NIF e da morada fiscal associada. Assim que recebermos essa informação, a fatura será emitida e enviada para o seu e-mail.",False,False,True,template_generated,
lusosupport_pt_000061,pt,pt-PT,marketplace,placeholder,faq_answer,return_request,informal,formal,chat,medium,Responde à pergunta do cliente.,Mensagem do cliente: Mudei de ideias e quero devolver o produto — ainda estou dentro do prazo?,"Aceita-se a devolução de artigos no prazo de 30 dias após a data de entrega. O artigo deve estar em perfeitas condições e na embalagem original. Para iniciar a devolução, contacte o suporte ou aceda à área de cliente.",False,False,True,template_generated,
lusosupport_pt_000062,pt,pt-PT,utilities,placeholder,faq_answer,billing_question,urgent,concise,email,medium,Responde à pergunta do cliente.,Mensagem do cliente: Há um valor na fatura que não reconheço — podem esclarecer?,"Todas as faturas estão disponíveis na área de cliente em 'Faturas e Pagamentos'. Caso identifique um erro numa cobrança, contacte o suporte com o número de fatura e o item em questão para verificação.",False,False,True,template_generated,
lusosupport_pt_000063,pt,pt-PT,utilities,placeholder,email_reply,cancel_subscription,calm,reassuring,web_form,hard,Escreve uma resposta por e-mail em português de Portugal.,Mensagem do cliente: Quero encerrar a minha conta e deixar de ser cobrado.,"Caro/a cliente,

O cancelamento da sua subscrição foi registado conforme solicitado.

O acesso ao serviço mantém-se activo até [data de fim do período]. Não serão efectuadas cobranças adicionais.

Agradecemos a sua preferência e esperamos poder servi-lo/a novamente no futuro.

Atenciosamente,
[Nome da Empresa]",False,False,True,template_generated,
lusosupport_pt_000064,pt,pt-PT,ecommerce,placeholder,urgency_classification,return_request,frustrated,concise,email,easy,Classifica a urgência do pedido.,Mensagem do cliente: O artigo veio errado e preciso de o devolver.,"{""urgency"": ""low"", ""reason"": ""O pedido de devolução não implica urgência imediata."", ""escalate"": false}",False,False,True,template_generated,
lusosupport_pt_000065,pt,pt-PT,ecommerce,placeholder,intent_classification,order_status,formal,formal,chat,medium,Classifica a intenção do cliente.,Mensagem do cliente: Quando é que a minha encomenda vai ser entregue?,"{""intent"": ""order_status"", ""urgency"": ""low"", ""domain"": ""ecommerce"", ""confidence"": 0.95}",False,False,True,template_generated,
lusosupport_pt_000066,pt,pt-PT,travel,placeholder,response_generation,booking_change,calm,formal,email,easy,"Responde ao cliente em português de Portugal, com tom formal.",Mensagem do cliente: Necessito de adiar a reserva para a semana seguinte — é possível?,"Agradecemos o pedido de alteração. Para avançar, pode confirmar o número de reserva e descrever a alteração pretendida? Se a nova data implicar custos adicionais, informaremos previamente antes de qualquer cobrança.",False,False,True,template_generated,
lusosupport_pt_000067,pt,pt-PT,marketplace,placeholder,email_reply,return_request,calm,empathetic,phone_transcript,easy,Escreve uma resposta por e-mail em português de Portugal.,Mensagem do cliente: O artigo veio errado e preciso de o devolver.,"Caro/a cliente,

Recebemos o seu pedido de devolução e estamos a tratar do mesmo.

Para completar o processo, por favor confirme o número de encomenda e o motivo da devolução. Enviaremos a etiqueta de devolução por e-mail em breve.

Atenciosamente,
[Nome da Empresa]",False,False,True,template_generated,
lusosupport_pt_000068,pt,pt-PT,travel,placeholder,urgency_classification,booking_change,confused,formal,chat,medium,Classifica a urgência do pedido.,Mensagem do cliente: Houve uma mudança de planos e preciso de modificar os detalhes da reserva.,"{""urgency"": ""medium"", ""reason"": ""A alteração de reserva tem prazo limitado e requer atenção dentro do tempo útil."", ""escalate"": false}",False,False,True,template_generated,
lusosupport_pt_000069,pt,pt-PT,marketplace,placeholder,urgency_classification,payment_failure,urgent,formal,chat,hard,Classifica a urgência do pedido.,Mensagem do cliente: Tentei efectuar o pagamento várias vezes e continua a falhar.,"{""urgency"": ""high"", ""reason"": ""A falha de pagamento impede a conclusão da transacção e requer resolução urgente."", ""escalate"": true}",False,False,True,template_generated,
lusosupport_pt_000070,pt,pt-PT,ecommerce,placeholder,rewrite_professional,invoice_request,calm,empathetic,phone_transcript,hard,Reescreve a mensagem de forma profissional.,Mensagem do cliente: Ainda não recebi a fatura referente ao meu pagamento do mês passado.,"Solicito, por favor, o envio da fatura relativa ao serviço prestado no mês de [mês]. Os dados de facturação constam da minha conta.",False,False,True,template_generated,
lusosupport_pt_000071,pt,pt-PT,travel,placeholder,next_action_suggestion,booking_change,frustrated,reassuring,web_form,easy,Indica os próximos passos.,Mensagem do cliente: Gostaria de mudar o destino ou o horário da minha viagem.,"1. Consultar a política de alterações da tarifa contratada.
2. Verificar disponibilidade para a nova data.
3. Efectuar a alteração no sistema.
4. Confirmar e enviar nova documentação de reserva.",False,False,True,template_generated,
lusosupport_pt_000072,pt,pt-PT,travel,placeholder,intent_classification,booking_cancellation,formal,professional,web_form,hard,Classifica a intenção do cliente.,Mensagem do cliente: Pretendo cancelar a minha reserva.,"{""intent"": ""booking_cancellation"", ""urgency"": ""medium"", ""domain"": ""travel"", ""confidence"": 0.84}",False,False,True,template_generated,
